,fold,target,words per sentence,+ % direct speech sentences,+ top3000vocab,+ bzip2_ratio,+ cliches,+ stylebigrams,+ prod,+ topics,+ bigrams,+ char4grams,+ fragments,+ Category,+ Translated,+ Author gender,+ % adjectives,+ % adverbs,+ % nouns,+ % verbs,+ % modifying PPs,+ % modifying RELs,+ avgdeplen,+ avgdlevel
Appel_VanTweeKanten,1.0,4.117216117216112,4.133771464402321,4.238551097248752,4.0495565525630735,4.072492738544133,3.655371989296747,3.4373730607180666,3.564569994141693,3.7386930991275378,3.696919159525081,3.693275830380025,3.707470981100351,3.6751600629379424,3.675392876799656,3.930282449000328,3.924073446913408,3.931986276982237,3.930068089657116,3.932004702491596,3.9353191540314727,3.93422563028228,3.959849345780148,3.9572913675551113
Dorrestein_Stiefmoeder,4.0,5.5313174946004295,4.326151206006695,4.56121485564436,4.626471300956618,4.7735965529680255,4.437968153858122,4.426606170729301,4.792451298831623,5.1360058749510635,5.2090400520639415,5.234104189423411,5.2836454082087645,5.404480798978393,5.417102406508106,5.280987950112697,5.248432650684487,5.2498329960330645,5.247272864209497,5.245615122520935,5.2444086129957626,5.256930488586519,5.260476074028478,5.262112169020918
Durlacher_Held,4.0,5.66468253968253,4.135318688751888,4.4363220827961865,4.411472177455588,4.507473347520883,4.7893243482873915,5.218585585497472,5.201158824815324,5.044198896591939,5.054103461175129,5.049503243205897,5.167160514376065,5.390418509379226,5.437504494880182,5.2349870097675595,5.157170414827067,5.1543511065069945,5.144641789130788,5.141858487748132,5.18046916833416,5.154492114557483,5.155999229910269,5.179485066641583
Heijden_Tonio,2.0,6.28515625,4.532973768681077,4.597376888591214,4.605774193966028,4.824722166955453,4.938900315706313,5.126663108609077,5.1668593937912455,5.583029464542445,5.6316579923687495,5.6332034952994094,5.64124414534065,5.732954907330072,5.734695810981206,5.836805005020626,5.8092526163255656,5.8400758908475865,5.839091700338629,5.838903915908146,5.850650618538781,5.849235986792492,5.84398018508567,5.842126978288055
Mortier_Godenslaap,4.0,6.60246913580246,5.894854919746402,5.7172438232292535,5.777047606101916,5.817365995886275,5.679488934532193,5.221582503250086,5.738085340435593,6.542800976432824,6.598239478765807,6.573935889439646,6.546034906061998,6.4166543511900045,6.49036505157355,6.744808311544464,6.797345517006431,6.805567387098223,6.808365092879651,6.807248000378118,6.854868171407148,6.857198522822354,6.8707100940889205,6.888780302789741
Smit_Vloed,4.0,4.95642701525054,4.63291825386287,5.203415135959506,5.184243121922805,5.238676006546911,5.4792523877080965,5.680692588254168,5.709670170290821,5.4978178486819695,5.5804322124950945,5.5668398371995425,5.5151290638937125,5.587007429049624,5.630662632694966,5.561231335918351,5.574437442981484,5.585622913134411,5.585341563550888,5.585066386295531,5.610856984050418,5.597597685220309,5.587959125192549,5.564708270285023
Tex_Wachtwoord,5.0,4.272727272727272,4.033465723191122,4.287853000404226,4.0251594044468835,4.0368197948029385,3.5776665015639986,4.631741165257403,4.69576245242181,4.222624893887547,4.2931684463382735,4.288222412133566,4.238192361150782,4.157441877010927,4.145219016808181,4.2306344280357715,4.238554435303797,4.228583290665449,4.220978203856607,4.217517698394647,4.214659004548452,4.205290399357853,4.184559524431586,4.179515218639473
Dijkzeul_GoudenBergen,,,,,,,,,,,,,,,,,,,,,,,,
